keyword_searched,dc_title,dc_creator,dc_publisher,dc_date,dc_type,dc_format,dc_language,dc_source,dc_relation,dc_description,ark,gallica_url,year,journal_title
variole,"Moniteur algérien : journal officiel de la colonie : annonces légales, judiciaires, administratives, commerciales et maritimes",Algérie (Période coloniale). Auteur du texte,[s.n.] (Alger),1857-02-15,texte,,fre,"Bibliothèque nationale de France, département Droit, économie, politique, JO-3026",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb328185387,15 février 1857,https://gallica.bnf.fr/ark:/12148/bpt6k4889749c,https://gallica.bnf.fr/ark:/12148/bpt6k4889749c,1857,"Bibliothèque nationale de France, département Droit, économie, politique, JO-3026"
choléra,Courrier du Midi : journal de l'Hérault,,[s.n.] (Montpellier),1832-04-19,texte,,fre,"Montpellier Méditerranée Métropole - Médiathèque centrale Emile Zola, 1497",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32751287k,19 avril 1832,https://gallica.bnf.fr/ark:/12148/bpt6k13361710,https://gallica.bnf.fr/ark:/12148/bpt6k13361710,1832,"Montpellier Méditerranée Métropole - Médiathèque centrale Emile Zola, 1497"
variole,Rapport sur les vaccinations pratiquées en France ...,France. Comité central de vaccine. Auteur du texte,Imprimerie impériale (Paris),1851,texte,Nombre total de vues : 9788,fre,"Bibliothèque de l'Académie nationale de médecine, 2012-195998",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32848237p,1851,https://gallica.bnf.fr/ark:/12148/bpt6k6344863j,https://gallica.bnf.fr/ark:/12148/bpt6k6344863j,1851,"Bibliothèque de l'Académie nationale de médecine, 2012-195998"
contagion,Recueil de médecine vétérinaire,,Gabon (Paris),1862-02-01,texte,Nombre total de vues : 108111,fre,"Ecole nationale vétérinaire d'Alfort, 2012-67831",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb375835704,01 février 1862,https://gallica.bnf.fr/ark:/12148/bpt6k6283174g,https://gallica.bnf.fr/ark:/12148/bpt6k6283174g,1862,"Ecole nationale vétérinaire d'Alfort, 2012-67831"
typhus,Recueil de médecine vétérinaire,,Gabon (Paris),1864-11-01,texte,Nombre total de vues : 108111,fre,"Ecole nationale vétérinaire d'Alfort, 2012-67831",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb375835704,01 novembre 1864,https://gallica.bnf.fr/ark:/12148/bpt6k6264272r,https://gallica.bnf.fr/ark:/12148/bpt6k6264272r,1864,"Ecole nationale vétérinaire d'Alfort, 2012-67831"
variole,Rapport sur les vaccinations pratiquées en France ...,France. Comité central de vaccine. Auteur du texte,Imprimerie impériale (Paris),1844,texte,Nombre total de vues : 9788,fre,"Bibliothèque de l'Académie nationale de médecine, 2012-195998",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32848237p,1844,https://gallica.bnf.fr/ark:/12148/bpt6k6361301b,https://gallica.bnf.fr/ark:/12148/bpt6k6361301b,1844,"Bibliothèque de l'Académie nationale de médecine, 2012-195998"
contagion,Journal clinique des Hôpitaux de Lyon et recueil de médecine et de chirurgie pratiques / publié par Jh. Gensoul et Alph. Dupasquier,"Dupasquier, Alphonse (1793-1848). Auteur du texte",Louis Babeuf (Lyon),1830-01-01,texte,Nombre total de vues : 1666,fre,"Bibliothèque de l'Université Claude Bernard Lyon 1, 2013-58986",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32796741p,01 janvier 1830,https://gallica.bnf.fr/ark:/12148/bpt6k6550192c,https://gallica.bnf.fr/ark:/12148/bpt6k6550192c,1830,"Bibliothèque de l'Université Claude Bernard Lyon 1, 2013-58986"
contagion,Gazette médicale de Lyon,Société de médecine (Lyon). Auteur du texte,[s.n.] (Lyon),1865,texte,Nombre total de vues : 10570,fre,Bibliothèque nationale de France,Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34368133v,1865,https://gallica.bnf.fr/ark:/12148/bpt6k200765h,https://gallica.bnf.fr/ark:/12148/bpt6k200765h,1865,Bibliothèque nationale de France
choléra,"Courrier des théâtres : littérature, beaux-arts, sciences ...",,[s.n.] (Paris),1832-04-20,texte,,fre,"Bibliothèque nationale de France, département Littérature et art, Z-5398",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32751100d,20 avril 1832,https://gallica.bnf.fr/ark:/12148/bd6t5397719m,https://gallica.bnf.fr/ark:/12148/bd6t5397719m,1832,"Bibliothèque nationale de France, département Littérature et art, Z-5398"
contagion,"L'Écho des montagnes : bulletin des intérêts moraux et matériels de l'arrondissement de Marvejols [""puis"" journal de Marvejols... ""ou"" journal administratif et judiciaire de l'arrondissement de Marvejols...]",,Théret (Marvejols),1865-10-15,texte,,fre,"Archives départementales de la Lozère, 1 PER 202",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32761675w,15 octobre 1865,https://gallica.bnf.fr/ark:/12148/bd6t52120594z,https://gallica.bnf.fr/ark:/12148/bd6t52120594z,1865,"Archives départementales de la Lozère, 1 PER 202"
